"","observation_path","chamber_path","committee_path","observation_number","chamber_number","committee_number","committee_name","committee_type"
"210","/chamber-3/committee-61/observation-210","/chamber-3","/chamber-3/committee-61","210",3,"61","Draft Communications Data Bill","Joint Select Committees"
"211","/chamber-3/committee-62/observation-211","/chamber-3","/chamber-3/committee-62","211",3,"62","Draft Constitutional Renewal Bill","Joint Select Committees"
"212","/chamber-3/committee-63/observation-212","/chamber-3","/chamber-3/committee-63","212",3,"63","Draft Corruption Bill ","Joint Select Committees"
"213","/chamber-3/committee-64/observation-213","/chamber-3","/chamber-3/committee-64","213",3,"64","Draft Defamation Bill","Joint Select Committees"
"214","/chamber-3/committee-65/observation-214","/chamber-3","/chamber-3/committee-65","214",3,"65","Draft Deregulation Bill","Joint Select Committees"
"215","/chamber-3/committee-66/observation-215","/chamber-3","/chamber-3/committee-66","215",3,"66","Draft Detention of Terrorist Suspects (Temporary Extension) Bills","Joint Select Committees"
"216","/chamber-3/committee-67/observation-216","/chamber-3","/chamber-3/committee-67","216",3,"67","Draft Disability Discrimination Bill","Joint Select Committees"
"217","/chamber-3/committee-68/observation-217","/chamber-3","/chamber-3/committee-68","217",3,"68","Draft Enhanced Terrorism Prevention and Investigation Measures Bill","Joint Select Committees"
"218","/chamber-3/committee-69/observation-218","/chamber-3","/chamber-3/committee-69","218",3,"69","Draft Financial Services Bill","Joint Select Committees"
"219","/chamber-3/committee-71/observation-219","/chamber-3","/chamber-3/committee-71","219",3,"71","Draft Gambling Bill (Regional Casinos)","Joint Select Committees"
"220","/chamber-3/committee-72/observation-220","/chamber-3","/chamber-3/committee-72","220",3,"72","Draft Health Service Safety Investigations Bill","Joint Select Committees"
"221","/chamber-3/committee-73/observation-221","/chamber-3","/chamber-3/committee-73","221",3,"73","Draft House of Lords Reform Bill ","Joint Select Committees"
"222","/chamber-3/committee-74/observation-222","/chamber-3","/chamber-3/committee-74","222",3,"74","Draft Human Tissue and Embryos Bill ","Joint Select Committees"
"223","/chamber-3/committee-75/observation-223","/chamber-3","/chamber-3/committee-75","223",3,"75","Draft Investigatory Powers Bill","Joint Select Committees"
"224","/chamber-3/committee-76/observation-224","/chamber-3","/chamber-3/committee-76","224",3,"76","Draft Legal Services Bill","Joint Select Committees"
"225","/chamber-3/committee-78/observation-225","/chamber-3","/chamber-3/committee-78","225",3,"78","Draft Marine Bill","Joint Select Committees"
"226","/chamber-3/committee-79/observation-226","/chamber-3","/chamber-3/committee-79","226",3,"79","Draft Mental Health Bill","Joint Select Committees"
"227","/chamber-3/committee-80/observation-227","/chamber-3","/chamber-3/committee-80","227",3,"80","Draft Mental Incapacity Bill","Joint Select Committees"
"228","/chamber-3/committee-81/observation-228","/chamber-3","/chamber-3/committee-81","228",3,"81","Draft Modern Slavery Bill","Joint Select Committees"
"229","/chamber-3/committee-82/observation-229","/chamber-3","/chamber-3/committee-82","229",3,"82","Draft Protection of Charities Bill","Joint Select Committees"
"230","/chamber-3/committee-83/observation-230","/chamber-3","/chamber-3/committee-83","230",3,"83","Draft Voting Eligibility (Prisoners) Bill","Joint Select Committees"
"231","/chamber-3/committee-137/observation-231","/chamber-3","/chamber-3/committee-137","231",3,"137","House of Lords Reform","Joint Select Committees"
"232","/chamber-3/committee-139/observation-232","/chamber-3","/chamber-3/committee-139","232",3,"139","Human Rights","Joint Select Committees"
"233","/chamber-3/committee-177/observation-233","/chamber-3","/chamber-3/committee-177","233",3,"177","National Security Strategy","Joint Select Committees"
"234","/chamber-3/committee-185/observation-234","/chamber-3","/chamber-3/committee-185","234",3,"185","Palace of Westminster","Joint Select Committees"
"235","/chamber-3/committee-187/observation-235","/chamber-3","/chamber-3/committee-187","235",3,"187","Parliamentary Privilege","Joint Select Committees"
"236","/chamber-3/committee-188/observation-236","/chamber-3","/chamber-3/committee-188","236",3,"188","Parliamentary Privilege","Joint Select Committees"
"237","/chamber-3/committee-194/observation-237","/chamber-3","/chamber-3/committee-194","237",3,"194","Privacy and Injunctions","Joint Select Committees"
"238","/chamber-3/committee-212/observation-238","/chamber-3","/chamber-3/committee-212","238",3,"212","Rookery South (Resource Recovery Facility) Order 2011","Joint Select Committees"
"239","/chamber-3/committee-246/observation-239","/chamber-3","/chamber-3/committee-246","239",3,"246","Statutory Instruments (Joint Committee)","Joint Select Committees"
"240","/chamber-3/committee-252/observation-240","/chamber-3","/chamber-3/committee-252","240",3,"252","Tax Law Rewrite Bills","Joint Select Committees"
"241","/chamber-3/committee-253/observation-241","/chamber-3","/chamber-3/committee-253","241",3,"253","Tax Simplification","Joint Select Committees"
"242","/chamber-4/committee-16/observation-242","/chamber-4","/chamber-4/committee-16","242",4,"16","Arms Export Controls (Committees on) ","Other Committees"
"243","/chamber-4/committee-19/observation-243","/chamber-4","/chamber-4/committee-19","243",4,"19","Audit Committee (Lords)","Other Committees"
"244","/chamber-4/committee-36/observation-244","/chamber-4","/chamber-4/committee-36","244",4,"36","Commons Reference Group on Representation and Inclusion","Other Committees"
"245","/chamber-4/committee-43/observation-245","/chamber-4","/chamber-4/committee-43","245",4,"43","Consumer Insurance (Disclosure and Representations) Bill","Other Committees"
"246","/chamber-4/committee-45/observation-246","/chamber-4","/chamber-4/committee-45","246",4,"45","Court of Referees","Other Committees"
"247","/chamber-4/committee-50/observation-247","/chamber-4","/chamber-4/committee-50","247",4,"50","Delegated Legislation Committee","Other Committees"
"248","/chamber-4/committee-86/observation-248","/chamber-4","/chamber-4/committee-86","248",4,"86","Ecclesiastical Committee","Other Committees"
"249","/chamber-4/committee-98/observation-249","/chamber-4","/chamber-4/committee-98","249",4,"98","Estimate Audit Committees","Other Committees"
"250","/chamber-4/committee-113/observation-250","/chamber-4","/chamber-4/committee-113","250",4,"113","European Committee","Other Committees"
"251","/chamber-4/committee-133/observation-251","/chamber-4","/chamber-4/committee-133","251",4,"133","House of Commons Commission","Other Committees"
"252","/chamber-4/committee-148/observation-252","/chamber-4","/chamber-4/committee-148","252",4,"148","Intelligence and Security Committee of Parliament","Other Committees"
"253","/chamber-4/committee-155/observation-253","/chamber-4","/chamber-4/committee-155","253",4,"155","Leader's Group on Governance","Other Committees"
"254","/chamber-4/committee-156/observation-254","/chamber-4","/chamber-4/committee-156","254",4,"156","Leader's Group on Members Leaving the House ","Other Committees"
"255","/chamber-4/committee-157/observation-255","/chamber-4","/chamber-4/committee-157","255",4,"157","Leader’s Group on the Working Practices of the House of Lords","Other Committees"
"256","/chamber-4/committee-165/observation-256","/chamber-4","/chamber-4/committee-165","256",4,"165","Lord Speaker's committee on the size of the House","Other Committees"
"257","/chamber-4/committee-168/observation-257","/chamber-4","/chamber-4/committee-168","257",4,"168","Members Estimate Committee","Other Committees"
"258","/chamber-4/committee-182/observation-258","/chamber-4","/chamber-4/committee-182","258",4,"182","Northern Ireland Grand Committee","Other Committees"
"259","/chamber-4/committee-186/observation-259","/chamber-4","/chamber-4/committee-186","259",4,"186","Panel of Chairs","Other Committees"
"260","/chamber-4/committee-189/observation-260","/chamber-4","/chamber-4/committee-189","260",4,"189","Partnerships (Prosecution) (Scotland) Bill [HL] ","Other Committees"
"261","/chamber-4/committee-199/observation-261","/chamber-4","/chamber-4/committee-199","261",4,"199","Public Accounts Commission","Other Committees"
"262","/chamber-4/committee-223/observation-262","/chamber-4","/chamber-4/committee-223","262",4,"223","Security (Joint Committee)","Other Committees"
"263","/chamber-4/committee-235/observation-263","/chamber-4","/chamber-4/committee-235","263",4,"235","Speaker's Committee for IPSA","Other Committees"
"264","/chamber-4/committee-236/observation-264","/chamber-4","/chamber-4/committee-236","264",4,"236","Speaker's Committee on the Electoral Commission","Other Committees"
"265","/chamber-4/committee-237/observation-265","/chamber-4","/chamber-4/committee-237","265",4,"237","Speaker's Conference on Parliamentary Representation","Other Committees"
"266","/chamber-4/committee-242/observation-266","/chamber-4","/chamber-4/committee-242","266",4,"242","Standards in Public Life Committee","Other Committees"
"267","/chamber-4/committee-260/observation-267","/chamber-4","/chamber-4/committee-260","267",4,"260","Trusts (Capital and Income) Bill [HL]","Other Committees"
"268","/chamber-4/committee-262/observation-268","/chamber-4","/chamber-4/committee-262","268",4,"262","Welsh Grand Committee","Other Committees"
"269","/chamber-4/committee-268/observation-269","/chamber-4","/chamber-4/committee-268","269",4,"268","Works of Art (Speaker's Advisory Committee)","Other Committees"
"270","/chamber-4/committee-269/observation-270","/chamber-4","/chamber-4/committee-269","270",4,"269","Works of Art Advisory Panel (Lords)","Other Committees"
