"uri","constituency type","ended date","gss code","label","os name","started date"
"http://data.parliament.uk/resources/146068",,"1950-02-23",,"Smethwick",,"1918-12-14"
"http://data.parliament.uk/resources/146069",,"1974-02-28",,"Smethwick",,"1950-02-23"
"http://data.parliament.uk/resources/146070",,"1950-02-23",,"Solihull",,"1918-12-14"
"http://data.parliament.uk/resources/146071",,"1974-02-28",,"Solihull",,"1950-02-23"
"http://data.parliament.uk/resources/146072","Borough","1983-06-09",,"Solihull",,"1974-02-28"
"http://data.parliament.uk/resources/146073","Borough","1997-05-01",,"Solihull",,"1983-06-09"
"http://data.parliament.uk/resources/146074","Borough","2010-05-06",,"Solihull","Solihull Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147194","Borough",,"E14000931","Solihull","Solihull Boro Const","2010-05-06"
"http://data.parliament.uk/resources/147109","County",,"E14000850","North Somerset","North Somerset Co Const","2010-05-06"
"http://data.parliament.uk/resources/147105","County",,"E14000846","North East Somerset","North East Somerset Co Const","2010-05-06"
"http://data.parliament.uk/resources/146075","County","1997-05-01",,"Somerton & Frome",,"1983-06-09"
"http://data.parliament.uk/resources/146076","County","2010-05-06",,"Somerton & Frome","Somerton and Frome Co Const","1997-05-01"
"http://data.parliament.uk/resources/147195","County",,"E14000932","Somerton and Frome","Somerton and Frome Co Const","2010-05-06"
"http://data.parliament.uk/resources/146077",,"1974-02-28",,"South Angus",,"1950-02-23"
"http://data.parliament.uk/resources/146078","County","1983-06-09",,"South Angus",,"1974-02-28"
"http://data.parliament.uk/resources/146079",,"1974-02-28",,"South Antrim",,"1950-02-23"
"http://data.parliament.uk/resources/146080","County","1983-06-09",,"South Antrim",,"1974-02-28"
"http://data.parliament.uk/resources/146081","County","1997-05-01",,"South Antrim",,"1983-06-09"
"http://data.parliament.uk/resources/146082","County","2010-05-06",,"South Antrim",,"1997-05-01"
"http://data.parliament.uk/resources/146083",,"1950-02-23",,"South Ayrshire",,"1918-12-14"
"http://data.parliament.uk/resources/146084",,"1974-02-28",,"South Ayrshire",,"1950-02-23"
"http://data.parliament.uk/resources/146085","County","1983-06-09",,"South Ayrshire",,"1974-02-28"
"http://data.parliament.uk/resources/146086",,"1974-02-28",,"South Bedfordshire",,"1950-02-23"
"http://data.parliament.uk/resources/146087","County","1983-06-09",,"South Bedfordshire",,"1974-02-28"
"http://data.parliament.uk/resources/146088","Borough","1997-05-01",,"South Belfast",,"1983-06-09"
"http://data.parliament.uk/resources/146089",,"1974-02-28",,"South Buckinghamshire",,"1950-02-23"
"http://data.parliament.uk/resources/146090","County","2010-05-06",,"South Cambridgeshire","South Cambridgeshire Co Const","1997-05-01"
"http://data.parliament.uk/resources/146091","County","1997-05-01",,"South Colchester & Maldon",,"1983-06-09"
"http://data.parliament.uk/resources/146092","Borough","1983-06-09",,"South Derby",,"1974-02-28"
"http://data.parliament.uk/resources/146093","County","1997-05-01",,"South Derbyshire",,"1983-06-09"
"http://data.parliament.uk/resources/146094","County","2010-05-06",,"South Derbyshire","South Derbyshire Co Const","1997-05-01"
"http://data.parliament.uk/resources/146095",,"1974-02-28",,"South Dorset",,"1950-02-23"
"http://data.parliament.uk/resources/146096","County","1983-06-09",,"South Dorset",,"1974-02-28"
"http://data.parliament.uk/resources/146097","County","1997-05-01",,"South Dorset",,"1983-06-09"
"http://data.parliament.uk/resources/146098","County","2010-05-06",,"South Dorset","South Dorset Co Const","1997-05-01"
"http://data.parliament.uk/resources/146099",,"1974-02-28",,"South Down",,"1950-02-23"
"http://data.parliament.uk/resources/146100","County","1983-06-09",,"South Down",,"1974-02-28"
"http://data.parliament.uk/resources/146101","County","1997-05-01",,"South Down",,"1983-06-09"
"http://data.parliament.uk/resources/146102","County","2010-05-06",,"South Down",,"1997-05-01"
"http://data.parliament.uk/resources/147201","County",,"N06000015","South Down",,"2010-05-06"
"http://data.parliament.uk/resources/146103","County","1997-05-01",,"South East Cambridgeshire",,"1983-06-09"
"http://data.parliament.uk/resources/146104","County","2010-05-06",,"South East Cambridgeshire","South East Cambridgeshire Co Const","1997-05-01"
"http://data.parliament.uk/resources/146105","County","1997-05-01",,"South East Cornwall",,"1983-06-09"
"http://data.parliament.uk/resources/146106","County","2010-05-06",,"South East Cornwall","South East Cornwall Co Const","1997-05-01"
"http://data.parliament.uk/resources/146107",,"1974-02-28",,"South East Derbyshire",,"1950-02-23"
"http://data.parliament.uk/resources/146108","County","1983-06-09",,"South East Derbyshire",,"1974-02-28"
"http://data.parliament.uk/resources/146109",,"1974-02-28",,"South East Essex",,"1955-05-26"
"http://data.parliament.uk/resources/146110","County","1983-06-09",,"South East Essex",,"1974-02-28"
"http://data.parliament.uk/resources/146111","County","1997-05-01",,"South East Staffordshire",,"1983-06-09"
"http://data.parliament.uk/resources/146112",,"1974-02-28",,"South Fylde",,"1950-02-23"
"http://data.parliament.uk/resources/146113","County","1983-06-09",,"South Fylde",,"1974-02-28"
"http://data.parliament.uk/resources/146114",,"1974-02-28",,"South Gloucestershire",,"1950-02-23"
"http://data.parliament.uk/resources/146115","County","1983-06-09",,"South Gloucestershire",,"1974-02-28"
"http://data.parliament.uk/resources/146116","County","1997-05-01",,"South Hams",,"1983-06-09"
"http://data.parliament.uk/resources/146117","County","1983-06-09",,"South Hertfordshire",,"1974-02-28"
"http://data.parliament.uk/resources/146118","County","2010-05-06",,"South Holland & The Deepings","South Holland and the Deepings Co Const","1997-05-01"
"http://data.parliament.uk/resources/147204","County",,"E14000939","South Holland and The Deepings","South Holland and The Deepings Co Const","2010-05-06"
"http://data.parliament.uk/resources/146119",,"1950-02-23",,"South Molton",,"1918-12-14"
"http://data.parliament.uk/resources/146120",,"1974-02-28",,"South Norfolk",,"1950-02-23"
"http://data.parliament.uk/resources/146121","County","1983-06-09",,"South Norfolk",,"1974-02-28"
"http://data.parliament.uk/resources/146122","County","1997-05-01",,"South Norfolk",,"1983-06-09"
"http://data.parliament.uk/resources/146123","County","2010-05-06",,"South Norfolk","South Norfolk Co Const","1997-05-01"
"http://data.parliament.uk/resources/146124",,"1974-02-28",,"South Northamptonshire",,"1950-02-23"
