"uri","constituency type","ended date","gss code","label","os name","started date"
"http://data.parliament.uk/resources/147026","Borough",,"E14000778","Leeds East","Leeds East Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145153",,"1950-02-23",,"Leeds North",,"1918-12-14"
"http://data.parliament.uk/resources/145154",,"1955-05-26",,"Leeds North",,"1950-02-23"
"http://data.parliament.uk/resources/145155",,"1950-02-23",,"Leeds North East",,"1918-12-14"
"http://data.parliament.uk/resources/145156",,"1974-02-28",,"Leeds North East",,"1950-02-23"
"http://data.parliament.uk/resources/145157","Borough","1983-06-09",,"Leeds North East",,"1974-02-28"
"http://data.parliament.uk/resources/145158","Borough","1997-05-01",,"Leeds North East",,"1983-06-09"
"http://data.parliament.uk/resources/145159","Borough","2010-05-06",,"Leeds North East","Leeds North East Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147027","Borough",,"E14000779","Leeds North East","Leeds North East Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145160",,"1974-02-28",,"Leeds North West",,"1950-02-23"
"http://data.parliament.uk/resources/145161","Borough","1983-06-09",,"Leeds North West",,"1974-02-28"
"http://data.parliament.uk/resources/145162","Borough","1997-05-01",,"Leeds North West",,"1983-06-09"
"http://data.parliament.uk/resources/145163","Borough","2010-05-06",,"Leeds North West","Leeds North West Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147028","Borough",,"E14000780","Leeds North West","Leeds North West Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145164",,"1950-02-23",,"Leeds South",,"1918-12-14"
"http://data.parliament.uk/resources/145165",,"1974-02-28",,"Leeds South",,"1950-02-23"
"http://data.parliament.uk/resources/145166","Borough","1983-06-09",,"Leeds South",,"1974-02-28"
"http://data.parliament.uk/resources/145167",,"1950-02-23",,"Leeds South East",,"1918-12-14"
"http://data.parliament.uk/resources/145168",,"1974-02-28",,"Leeds South East",,"1950-02-23"
"http://data.parliament.uk/resources/145169","Borough","1983-06-09",,"Leeds South East",,"1974-02-28"
"http://data.parliament.uk/resources/145170",,"1950-02-23",,"Leeds West",,"1918-12-14"
"http://data.parliament.uk/resources/145171",,"1974-02-28",,"Leeds West",,"1950-02-23"
"http://data.parliament.uk/resources/145172","Borough","1983-06-09",,"Leeds West",,"1974-02-28"
"http://data.parliament.uk/resources/145173","Borough","1997-05-01",,"Leeds West",,"1983-06-09"
"http://data.parliament.uk/resources/145174","Borough","2010-05-06",,"Leeds West","Leeds West Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147029","Borough",,"E14000781","Leeds West","Leeds West Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145175",,"1950-02-23",,"Leek",,"1918-12-14"
"http://data.parliament.uk/resources/145176",,"1974-02-28",,"Leek",,"1950-02-23"
"http://data.parliament.uk/resources/145177","County","1983-06-09",,"Leek",,"1974-02-28"
"http://data.parliament.uk/resources/145178",,"1950-02-23",,"Leicester East",,"1918-12-14"
"http://data.parliament.uk/resources/145179","Borough","1983-06-09",,"Leicester East",,"1974-02-28"
"http://data.parliament.uk/resources/145180","Borough","1997-05-01",,"Leicester East",,"1983-06-09"
"http://data.parliament.uk/resources/145181","Borough","2010-05-06",,"Leicester East","Leicester East Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147030","Borough",,"E14000782","Leicester East","Leicester East Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145182",,"1974-02-28",,"Leicester North East",,"1950-02-23"
"http://data.parliament.uk/resources/145183",,"1974-02-28",,"Leicester North West",,"1950-02-23"
"http://data.parliament.uk/resources/145184",,"1950-02-23",,"Leicester South",,"1918-12-14"
"http://data.parliament.uk/resources/145185","Borough","1983-06-09",,"Leicester South",,"1974-02-28"
"http://data.parliament.uk/resources/145186","Borough","1997-05-01",,"Leicester South",,"1983-06-09"
"http://data.parliament.uk/resources/145187","Borough","2010-05-06",,"Leicester South","Leicester South Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147031","Borough",,"E14000783","Leicester South","Leicester South Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145188",,"1974-02-28",,"Leicester South East",,"1950-02-23"
"http://data.parliament.uk/resources/145189",,"1974-02-28",,"Leicester South West",,"1950-02-23"
"http://data.parliament.uk/resources/145190",,"1950-02-23",,"Leicester West",,"1918-12-14"
"http://data.parliament.uk/resources/145191","Borough","1983-06-09",,"Leicester West",,"1974-02-28"
"http://data.parliament.uk/resources/145192","Borough","1997-05-01",,"Leicester West",,"1983-06-09"
"http://data.parliament.uk/resources/145193","Borough","2010-05-06",,"Leicester West","Leicester West Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147032","Borough",,"E14000784","Leicester West","Leicester West Boro Const","2010-05-06"
"http://data.parliament.uk/resources/147117","County",,"E14000858","North West Leicestershire",,"2010-05-06"
"http://data.parliament.uk/resources/147205","County",,"E14000940","South Leicestershire","South Leicestershire Co Const","2010-05-06"
"http://data.parliament.uk/resources/145194",,"1950-02-23",,"Leigh",,"1918-12-14"
"http://data.parliament.uk/resources/145195",,"1974-02-28",,"Leigh",,"1950-02-23"
"http://data.parliament.uk/resources/145196","Borough","1983-06-09",,"Leigh",,"1974-02-28"
"http://data.parliament.uk/resources/145197","Borough","1997-05-01",,"Leigh",,"1983-06-09"
"http://data.parliament.uk/resources/145198","County","2010-05-06",,"Leigh","Leigh Co Const","1997-05-01"
"http://data.parliament.uk/resources/147033","County",,"E14000785","Leigh","Leigh Co Const","2010-05-06"
"http://data.parliament.uk/resources/145199",,"1950-02-23",,"Leith",,"1918-12-14"
"http://data.parliament.uk/resources/145200",,"1950-02-23",,"Leominster",,"1918-12-14"
"http://data.parliament.uk/resources/145201",,"1974-02-28",,"Leominster",,"1950-02-23"
"http://data.parliament.uk/resources/145202","County","1983-06-09",,"Leominster",,"1974-02-28"
"http://data.parliament.uk/resources/145203","County","1997-05-01",,"Leominster",,"1983-06-09"
"http://data.parliament.uk/resources/145204","County","2010-05-06",,"Leominster","Leominster Co Const","1997-05-01"
"http://data.parliament.uk/resources/145205",,"1950-02-23",,"Lewes",,"1918-12-14"
"http://data.parliament.uk/resources/145206",,"1974-02-28",,"Lewes",,"1950-02-23"
"http://data.parliament.uk/resources/145207","County","1983-06-09",,"Lewes",,"1974-02-28"
"http://data.parliament.uk/resources/145208","County","1997-05-01",,"Lewes",,"1983-06-09"
"http://data.parliament.uk/resources/145209","County","2010-05-06",,"Lewes","Lewes Co Const","1997-05-01"
"http://data.parliament.uk/resources/147034","County",,"E14000786","Lewes","Lewes Co Const","2010-05-06"
"http://data.parliament.uk/resources/145210",,"1950-02-23",,"Lewisham East",,"1918-12-14"
"http://data.parliament.uk/resources/145211","Borough","1983-06-09",,"Lewisham East",,"1974-02-28"
"http://data.parliament.uk/resources/145212","Borough","1997-05-01",,"Lewisham East",,"1983-06-09"
"http://data.parliament.uk/resources/145213","Borough","2010-05-06",,"Lewisham East","Lewisham East Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147035","Borough",,"E14000787","Lewisham East","Lewisham East Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145214",,"1974-02-28",,"Lewisham North",,"1950-02-23"
"http://data.parliament.uk/resources/145215",,"1974-02-28",,"Lewisham South",,"1950-02-23"
"http://data.parliament.uk/resources/145216",,"1950-02-23",,"Lewisham West",,"1918-12-14"
"http://data.parliament.uk/resources/145217",,"1974-02-28",,"Lewisham West",,"1950-02-23"
"http://data.parliament.uk/resources/145218","Borough","1983-06-09",,"Lewisham West",,"1974-02-28"
"http://data.parliament.uk/resources/145219","Borough","1997-05-01",,"Lewisham West",,"1983-06-09"
"http://data.parliament.uk/resources/145220","Borough","2010-05-06",,"Lewisham West","Lewisham West Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147036","Borough",,"E14000788","Lewisham West and Penge","Lewisham West and Penge Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145221","Borough","1983-06-09",,"Lewisham, Deptford",,"1974-02-28"
"http://data.parliament.uk/resources/145222","Borough","1997-05-01",,"Lewisham, Deptford",,"1983-06-09"
"http://data.parliament.uk/resources/145223","Borough","2010-05-06",,"Lewisham, Deptford","Lewisham, Deptford Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147037","Borough",,"E14000789","Lewisham, Deptford","Lewisham, Deptford Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145224",,"1974-02-28",,"Leyton",,"1950-02-23"
"http://data.parliament.uk/resources/145225","Borough","1983-06-09",,"Leyton",,"1974-02-28"
"http://data.parliament.uk/resources/145226","Borough","1997-05-01",,"Leyton",,"1983-06-09"
"http://data.parliament.uk/resources/145227","Borough","2010-05-06",,"Leyton & Wanstead","Leyton and Wanstead Boro Const","1997-05-01"
"http://data.parliament.uk/resources/145228",,"1950-02-23",,"Leyton East",,"1918-12-14"
"http://data.parliament.uk/resources/145229",,"1950-02-23",,"Leyton West",,"1918-12-14"
"http://data.parliament.uk/resources/147038","Borough",,"E14000790","Leyton and Wanstead","Leyton and Wanstead Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145230",,"1950-02-23",,"Lichfield",,"1918-12-14"
"http://data.parliament.uk/resources/145231","County","2010-05-06",,"Lichfield","Lichfield Co Const","1997-05-01"
"http://data.parliament.uk/resources/147039","County",,"E14000791","Lichfield","Lichfield Co Const","2010-05-06"
"http://data.parliament.uk/resources/145232",,"1974-02-28",,"Lichfield & Tamworth",,"1950-02-23"
"http://data.parliament.uk/resources/145233","County","1983-06-09",,"Lichfield & Tamworth",,"1974-02-28"
"http://data.parliament.uk/resources/145234",,"1950-02-23",,"Limehouse",,"1918-12-14"
"http://data.parliament.uk/resources/145235",,"1950-02-23",,"Lincoln",,"1918-12-14"
"http://data.parliament.uk/resources/145236",,"1974-02-28",,"Lincoln",,"1950-02-23"
"http://data.parliament.uk/resources/145237","Borough","1983-06-09",,"Lincoln",,"1974-02-28"
"http://data.parliament.uk/resources/145238","Borough","1997-05-01",,"Lincoln",,"1983-06-09"
"http://data.parliament.uk/resources/145239","Borough","2010-05-06",,"Lincoln","Lincoln Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147040","Borough",,"E14000792","Lincoln","Lincoln Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145240","County","1997-05-01",,"Linlithgow",,"1983-06-09"
"http://data.parliament.uk/resources/145241","County","2005-05-05",,"Linlithgow","Linlithgow Co Const","1997-05-01"
"http://data.parliament.uk/resources/145242","County",,"S14000043","Linlithgow and East Falkirk","Linlithgow and East Falkirk Co Const","2005-04-05"
"http://data.parliament.uk/resources/145243",,"1950-02-23",,"Linlithgowshire",,"1918-12-14"
"http://data.parliament.uk/resources/145244","County","1997-05-01",,"Littleborough & Saddleworth",,"1983-06-09"
"http://data.parliament.uk/resources/145245","Borough","1997-05-01",,"Liverpool, Broadgreen",,"1983-06-09"
"http://data.parliament.uk/resources/145246",,"1950-02-23",,"Liverpool, East Toxteth",,"1918-12-14"
"http://data.parliament.uk/resources/145247",,"1950-02-23",,"Liverpool, Edge Hill",,"1918-12-14"
"http://data.parliament.uk/resources/145248",,"1974-02-28",,"Liverpool, Edge Hill",,"1950-02-23"
"http://data.parliament.uk/resources/145249","Borough","1983-06-09",,"Liverpool, Edge Hill",,"1974-02-28"
"http://data.parliament.uk/resources/145250",,"1950-02-23",,"Liverpool, Everton",,"1918-12-14"
"http://data.parliament.uk/resources/145251",,"1950-02-23",,"Liverpool, Exchange",,"1918-12-14"
"http://data.parliament.uk/resources/145252",,"1974-02-28",,"Liverpool, Exchange",,"1950-02-23"
"http://data.parliament.uk/resources/145253",,"1950-02-23",,"Liverpool, Fairfield",,"1918-12-14"
"http://data.parliament.uk/resources/145254",,"1974-02-28",,"Liverpool, Garston",,"1950-02-23"
"http://data.parliament.uk/resources/145255","Borough","1983-06-09",,"Liverpool, Garston",,"1974-02-28"
"http://data.parliament.uk/resources/145256","Borough","1997-05-01",,"Liverpool, Garston",,"1983-06-09"
"http://data.parliament.uk/resources/145257","Borough","2010-05-06",,"Liverpool, Garston","Liverpool, Garston Boro Const","1997-05-01"
"http://data.parliament.uk/resources/145258",,"1950-02-23",,"Liverpool, Kirkdale",,"1918-12-14"
"http://data.parliament.uk/resources/145259",,"1974-02-28",,"Liverpool, Kirkdale",,"1950-02-23"
"http://data.parliament.uk/resources/145260","Borough","1983-06-09",,"Liverpool, Kirkdale",,"1974-02-28"
"http://data.parliament.uk/resources/145261","Borough","1997-05-01",,"Liverpool, Mossley Hill",,"1983-06-09"
"http://data.parliament.uk/resources/145262","Borough","1997-05-01",,"Liverpool, Riverside",,"1983-06-09"
"http://data.parliament.uk/resources/145263","Borough","2010-05-06",,"Liverpool, Riverside","Liverpool, Riverside Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147041","Borough",,"E14000793","Liverpool, Riverside","Liverpool, Riverside Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145264",,"1950-02-23",,"Liverpool, Scotland",,"1918-12-14"
"http://data.parliament.uk/resources/145265",,"1974-02-28",,"Liverpool, Scotland",,"1950-02-23"
"http://data.parliament.uk/resources/145266","Borough","1983-06-09",,"Liverpool, Scotland Exchange",,"1974-02-28"
"http://data.parliament.uk/resources/145267",,"1974-02-28",,"Liverpool, Toxteth",,"1950-02-23"
"http://data.parliament.uk/resources/145268","Borough","1983-06-09",,"Liverpool, Toxteth",,"1974-02-28"
"http://data.parliament.uk/resources/145269",,"1950-02-23",,"Liverpool, Walton",,"1918-12-14"
"http://data.parliament.uk/resources/145270",,"1974-02-28",,"Liverpool, Walton",,"1950-02-23"
"http://data.parliament.uk/resources/145271","Borough","1983-06-09",,"Liverpool, Walton",,"1974-02-28"
"http://data.parliament.uk/resources/145272","Borough","1997-05-01",,"Liverpool, Walton",,"1983-06-09"
"http://data.parliament.uk/resources/145273","Borough","2010-05-06",,"Liverpool, Walton","Liverpool, Walton Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147042","Borough",,"E14000794","Liverpool, Walton","Liverpool, Walton Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145274",,"1950-02-23",,"Liverpool, Wavertree",,"1918-12-14"
"http://data.parliament.uk/resources/145275",,"1974-02-28",,"Liverpool, Wavertree",,"1950-02-23"
"http://data.parliament.uk/resources/145276","Borough","1983-06-09",,"Liverpool, Wavertree",,"1974-02-28"
"http://data.parliament.uk/resources/145277","Borough","2010-05-06",,"Liverpool, Wavertree","Liverpool, Wavertree Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147043","Borough",,"E14000795","Liverpool, Wavertree","Liverpool, Wavertree Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145278",,"1950-02-23",,"Liverpool, West Derby",,"1918-12-14"
"http://data.parliament.uk/resources/145279",,"1974-02-28",,"Liverpool, West Derby",,"1950-02-23"
"http://data.parliament.uk/resources/145280","Borough","1983-06-09",,"Liverpool, West Derby",,"1974-02-28"
"http://data.parliament.uk/resources/145281","Borough","1997-05-01",,"Liverpool, West Derby",,"1983-06-09"
"http://data.parliament.uk/resources/145282","Borough","2010-05-06",,"Liverpool, West Derby","Liverpool, West Derby Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147044","Borough",,"E14000796","Liverpool, West Derby","Liverpool, West Derby Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145283",,"1950-02-23",,"Liverpool, West Toxteth",,"1918-12-14"
"http://data.parliament.uk/resources/145284","County","1997-05-01",,"Livingston",,"1983-06-09"
"http://data.parliament.uk/resources/145285","County","2005-05-05",,"Livingston","Livingston Co Const","1997-05-01"
"http://data.parliament.uk/resources/145286","County",,"S14000044","Livingston","Livingston Co Const","2005-04-05"
"http://data.parliament.uk/resources/145287",,"1950-02-23",,"Llandaff & Barry",,"1918-12-14"
"http://data.parliament.uk/resources/145288",,"1974-02-28",,"Llanelli",,"1950-02-23"
"http://data.parliament.uk/resources/145289","County","1983-06-09",,"Llanelli",,"1974-02-28"
"http://data.parliament.uk/resources/145290","County","1997-05-01",,"Llanelli",,"1983-06-09"
"http://data.parliament.uk/resources/145291","County","2010-05-06",,"Llanelli","Llanelli Co Const","1997-05-01"
"http://data.parliament.uk/resources/147045","County",,"W07000045","Llanelli",,"2010-05-06"
"http://data.parliament.uk/resources/145292",,"1950-02-23",,"Llanelly",,"1918-12-14"
"http://data.parliament.uk/resources/145293",,"1950-02-23",,"London University",,"1918-12-14"
"http://data.parliament.uk/resources/145294",,"1950-02-23",,"Londonderry",,"1918-12-14"
"http://data.parliament.uk/resources/145295",,"1974-02-28",,"Londonderry",,"1950-02-23"
"http://data.parliament.uk/resources/145296","County","1983-06-09",,"Londonderry",,"1974-02-28"
"http://data.parliament.uk/resources/145297",,"1950-02-23",,"Lonsdale",,"1918-12-14"
"http://data.parliament.uk/resources/145298",,"1950-02-23",,"Loughborough",,"1918-12-14"
"http://data.parliament.uk/resources/145299",,"1974-02-28",,"Loughborough",,"1950-02-23"
"http://data.parliament.uk/resources/145300","County","1983-06-09",,"Loughborough",,"1974-02-28"
"http://data.parliament.uk/resources/145301","County","1997-05-01",,"Loughborough",,"1983-06-09"
"http://data.parliament.uk/resources/145302","County","2010-05-06",,"Loughborough","Loughborough Co Const","1997-05-01"
"http://data.parliament.uk/resources/147046","County",,"E14000797","Loughborough","Loughborough Co Const","2010-05-06"
"http://data.parliament.uk/resources/145303",,"1950-02-23",,"Louth",,"1918-12-14"
"http://data.parliament.uk/resources/145304",,"1974-02-28",,"Louth",,"1950-02-23"
"http://data.parliament.uk/resources/145305","County","1983-06-09",,"Louth",,"1974-02-28"
"http://data.parliament.uk/resources/145306","County","2010-05-06",,"Louth & Horncastle","Louth and Horncastle Co Const","1997-05-01"
"http://data.parliament.uk/resources/147047","County",,"E14000798","Louth and Horncastle","Louth and Horncastle Co Const","2010-05-06"
"http://data.parliament.uk/resources/145307",,"1950-02-23",,"Lowestoft",,"1918-12-14"
"http://data.parliament.uk/resources/145308",,"1974-02-28",,"Lowestoft",,"1950-02-23"
"http://data.parliament.uk/resources/145309","County","1983-06-09",,"Lowestoft",,"1974-02-28"
"http://data.parliament.uk/resources/145310",,"1950-02-23",,"Ludlow",,"1918-12-14"
"http://data.parliament.uk/resources/145311",,"1974-02-28",,"Ludlow",,"1950-02-23"
"http://data.parliament.uk/resources/145312","County","1983-06-09",,"Ludlow",,"1974-02-28"
"http://data.parliament.uk/resources/145313","County","1997-05-01",,"Ludlow",,"1983-06-09"
"http://data.parliament.uk/resources/145314","County","2010-05-06",,"Ludlow","Ludlow Co Const","1997-05-01"
"http://data.parliament.uk/resources/147048","County",,"E14000799","Ludlow",,"2010-05-06"
"http://data.parliament.uk/resources/145315",,"1950-02-23",,"Luton",,"1918-12-14"
"http://data.parliament.uk/resources/145316",,"1974-02-28",,"Luton",,"1950-02-23"
"http://data.parliament.uk/resources/145317","Borough","1983-06-09",,"Luton East",,"1974-02-28"
"http://data.parliament.uk/resources/145318","Borough","2010-05-06",,"Luton North","Luton North Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147049","Borough",,"E14000800","Luton North","Luton North Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145319","Borough","1997-05-01",,"Luton South",,"1983-06-09"
"http://data.parliament.uk/resources/145320","Borough","2010-05-06",,"Luton South","Luton South Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147050","Borough",,"E14000801","Luton South","Luton South Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145321","Borough","1983-06-09",,"Luton West",,"1974-02-28"
"http://data.parliament.uk/resources/145322",,"1950-02-23",,"Macclesfield",,"1918-12-14"
"http://data.parliament.uk/resources/145323",,"1974-02-28",,"Macclesfield",,"1950-02-23"
"http://data.parliament.uk/resources/145324","County","1983-06-09",,"Macclesfield",,"1974-02-28"
"http://data.parliament.uk/resources/145325","County","1997-05-01",,"Macclesfield",,"1983-06-09"
"http://data.parliament.uk/resources/145326","County","2010-05-06",,"Macclesfield","Macclesfield Co Const","1997-05-01"
"http://data.parliament.uk/resources/147051","County",,"E14000802","Macclesfield","Macclesfield Co Const","2010-05-06"
"http://data.parliament.uk/resources/145327","County","2010-05-06",,"Maidenhead","Maidenhead Co Const","1997-05-01"
"http://data.parliament.uk/resources/147052","County",,"E14000803","Maidenhead","Maidenhead Co Const","2010-05-06"
"http://data.parliament.uk/resources/145328",,"1950-02-23",,"Maidstone",,"1918-12-14"
"http://data.parliament.uk/resources/145329",,"1974-02-28",,"Maidstone",,"1950-02-23"
"http://data.parliament.uk/resources/145330","County","1983-06-09",,"Maidstone",,"1974-02-28"
"http://data.parliament.uk/resources/145331","County","1997-05-01",,"Maidstone",,"1983-06-09"
"http://data.parliament.uk/resources/145332","County","2010-05-06",,"Maidstone & The Weald","Maidstone and the Weald Co Const","1997-05-01"
"http://data.parliament.uk/resources/147053","County",,"E14000804","Maidstone and The Weald","Maidstone and The Weald Co Const","2010-05-06"
"http://data.parliament.uk/resources/145333","County","1997-05-01",,"Makerfield",,"1983-06-09"
"http://data.parliament.uk/resources/145334","County","2010-05-06",,"Makerfield","Makerfield Co Const","1997-05-01"
"http://data.parliament.uk/resources/147054","County",,"E14000805","Makerfield","Makerfield Co Const","2010-05-06"
"http://data.parliament.uk/resources/145335",,"1950-02-23",,"Maldon",,"1918-12-14"
"http://data.parliament.uk/resources/145336",,"1974-02-28",,"Maldon",,"1950-02-23"
"http://data.parliament.uk/resources/145337","County","1983-06-09",,"Maldon",,"1974-02-28"
"http://data.parliament.uk/resources/147055","County",,"E14000806","Maldon","Maldon Co Const","2010-05-06"
"http://data.parliament.uk/resources/145338","County","2010-05-06",,"Maldon & East Chelmsford","Maldon and East Chelmsford Co Const","1997-05-01"
"http://data.parliament.uk/resources/145339","Borough","1983-06-09",,"Manchester Central",,"1974-02-28"
"http://data.parliament.uk/resources/145340","Borough","1997-05-01",,"Manchester Central",,"1983-06-09"
"http://data.parliament.uk/resources/145341","Borough","2010-05-06",,"Manchester Central","Manchester Central Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147056","Borough",,"E14000807","Manchester Central","Manchester Central Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145342",,"1950-02-23",,"Manchester, Ardwick",,"1918-12-14"
"http://data.parliament.uk/resources/145343",,"1974-02-28",,"Manchester, Ardwick",,"1950-02-23"
"http://data.parliament.uk/resources/145344","Borough","1983-06-09",,"Manchester, Ardwick",,"1974-02-28"
"http://data.parliament.uk/resources/145345",,"1950-02-23",,"Manchester, Blackley",,"1918-12-14"
"http://data.parliament.uk/resources/145346",,"1974-02-28",,"Manchester, Blackley",,"1950-02-23"
"http://data.parliament.uk/resources/145347","Borough","1983-06-09",,"Manchester, Blackley",,"1974-02-28"
"http://data.parliament.uk/resources/145348","Borough","1997-05-01",,"Manchester, Blackley",,"1983-06-09"
"http://data.parliament.uk/resources/145349","Borough","2010-05-06",,"Manchester, Blackley","Manchester, Blackley Boro Const","1997-05-01"
"http://data.parliament.uk/resources/145350",,"1974-02-28",,"Manchester, Cheetham",,"1950-02-23"
"http://data.parliament.uk/resources/145351",,"1950-02-23",,"Manchester, Clayton",,"1918-12-14"
"http://data.parliament.uk/resources/145352",,"1955-05-26",,"Manchester, Clayton",,"1950-02-23"
"http://data.parliament.uk/resources/145353",,"1950-02-23",,"Manchester, Exchange",,"1918-12-14"
"http://data.parliament.uk/resources/145354",,"1974-02-28",,"Manchester, Exchange",,"1950-02-23"
"http://data.parliament.uk/resources/145355",,"1950-02-23",,"Manchester, Gorton",,"1918-12-14"
"http://data.parliament.uk/resources/145356",,"1974-02-28",,"Manchester, Gorton",,"1950-02-23"
"http://data.parliament.uk/resources/145357","Borough","1983-06-09",,"Manchester, Gorton",,"1974-02-28"
"http://data.parliament.uk/resources/145358","Borough","1997-05-01",,"Manchester, Gorton",,"1983-06-09"
"http://data.parliament.uk/resources/145359","Borough","2010-05-06",,"Manchester, Gorton","Manchester, Gorton Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147057","Borough",,"E14000808","Manchester, Gorton","Manchester, Gorton Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145360",,"1950-02-23",,"Manchester, Hulme",,"1918-12-14"
"http://data.parliament.uk/resources/145361",,"1950-02-23",,"Manchester, Moss Side",,"1918-12-14"
"http://data.parliament.uk/resources/145362",,"1974-02-28",,"Manchester, Moss Side",,"1950-02-23"
"http://data.parliament.uk/resources/145363","Borough","1983-06-09",,"Manchester, Moss Side",,"1974-02-28"
"http://data.parliament.uk/resources/145364",,"1974-02-28",,"Manchester, Openshaw",,"1955-05-26"
"http://data.parliament.uk/resources/145365","Borough","1983-06-09",,"Manchester, Openshaw",,"1974-02-28"
"http://data.parliament.uk/resources/145366",,"1950-02-23",,"Manchester, Platting",,"1918-12-14"
"http://data.parliament.uk/resources/145367",,"1950-02-23",,"Manchester, Rusholme",,"1918-12-14"
"http://data.parliament.uk/resources/145368",,"1950-02-23",,"Manchester, Withington",,"1918-12-14"
"http://data.parliament.uk/resources/145369",,"1974-02-28",,"Manchester, Withington",,"1950-02-23"
"http://data.parliament.uk/resources/145370","Borough","1983-06-09",,"Manchester, Withington",,"1974-02-28"
"http://data.parliament.uk/resources/145371","Borough","1997-05-01",,"Manchester, Withington",,"1983-06-09"
"http://data.parliament.uk/resources/145372","Borough","2010-05-06",,"Manchester, Withington","Manchester, Withington Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147058","Borough",,"E14000809","Manchester, Withington","Manchester, Withington Boro Const","2010-05-06"
"http://data.parliament.uk/resources/145373",,"1974-02-28",,"Manchester, Wythenshawe",,"1950-02-23"
"http://data.parliament.uk/resources/145374","Borough","1983-06-09",,"Manchester, Wythenshawe",,"1974-02-28"
"http://data.parliament.uk/resources/145375","Borough","1997-05-01",,"Manchester, Wythenshawe",,"1983-06-09"
"http://data.parliament.uk/resources/145376",,"1950-02-23",,"Mansfield",,"1918-12-14"
"http://data.parliament.uk/resources/145377",,"1974-02-28",,"Mansfield",,"1950-02-23"
"http://data.parliament.uk/resources/145378","County","1983-06-09",,"Mansfield",,"1974-02-28"
"http://data.parliament.uk/resources/145379","County","1997-05-01",,"Mansfield",,"1983-06-09"
"http://data.parliament.uk/resources/145380","County","2010-05-06",,"Mansfield","Mansfield Co Const","1997-05-01"
"http://data.parliament.uk/resources/147059","County",,"E14000810","Mansfield","Mansfield Co Const","2010-05-06"
