"uri","constituency type","ended date","gss code","label","os name","started date"
"http://data.parliament.uk/resources/144729","Borough","2005-05-05",,"Glasgow, Springburn","Glasgow Springburn Burgh Const","1997-05-01"
"http://data.parliament.uk/resources/144730",,"1950-02-23",,"Glasgow, St Rollox",,"1918-12-14"
"http://data.parliament.uk/resources/144731",,"1950-02-23",,"Glasgow, Tradeston",,"1918-12-14"
"http://data.parliament.uk/resources/144732",,"1955-05-26",,"Glasgow, Tradeston",,"1950-02-23"
"http://data.parliament.uk/resources/144733",,"1974-02-28",,"Glasgow, Woodside",,"1950-02-23"
"http://data.parliament.uk/resources/144734","County",,"S14000036","Glenrothes","Glenrothes Co Const","2005-04-05"
"http://data.parliament.uk/resources/144735",,"1950-02-23",,"Gloucester",,"1918-12-14"
"http://data.parliament.uk/resources/144736",,"1974-02-28",,"Gloucester",,"1950-02-23"
"http://data.parliament.uk/resources/144737","Borough","1983-06-09",,"Gloucester",,"1974-02-28"
"http://data.parliament.uk/resources/144738","Borough","1997-05-01",,"Gloucester",,"1983-06-09"
"http://data.parliament.uk/resources/144739","Borough","2010-05-06",,"Gloucester","Gloucester Boro Const","1997-05-01"
"http://data.parliament.uk/resources/146957","Borough",,"E14000712","Gloucester","Gloucester Boro Const","2010-05-06"
"http://data.parliament.uk/resources/144740",,"1974-02-28",,"Goole",,"1950-02-23"
"http://data.parliament.uk/resources/144741","County","1983-06-09",,"Goole",,"1974-02-28"
"http://data.parliament.uk/resources/144742","County","1997-05-01",,"Gordon",,"1983-06-09"
"http://data.parliament.uk/resources/144743","County","2005-05-05",,"Gordon","Gordon Co Const","1997-05-01"
"http://data.parliament.uk/resources/144744","County",,"S14000037","Gordon","Gordon Co Const","2005-04-05"
"http://data.parliament.uk/resources/144745","Borough","1983-06-09",,"Gosport",,"1974-02-28"
"http://data.parliament.uk/resources/144746","Borough","1997-05-01",,"Gosport",,"1983-06-09"
"http://data.parliament.uk/resources/144747","Borough","2010-05-06",,"Gosport","Gosport Boro Const","1997-05-01"
"http://data.parliament.uk/resources/146958","Borough",,"E14000713","Gosport",,"2010-05-06"
"http://data.parliament.uk/resources/144748",,"1974-02-28",,"Gosport & Fareham",,"1950-02-23"
"http://data.parliament.uk/resources/144749",,"1950-02-23",,"Gower",,"1918-12-14"
"http://data.parliament.uk/resources/144750",,"1974-02-28",,"Gower",,"1950-02-23"
"http://data.parliament.uk/resources/144751","County","1983-06-09",,"Gower",,"1974-02-28"
"http://data.parliament.uk/resources/144752","County","1997-05-01",,"Gower",,"1983-06-09"
"http://data.parliament.uk/resources/144753","County","2010-05-06",,"Gower","Gower Co Const","1997-05-01"
"http://data.parliament.uk/resources/146959","County",,"W07000046","Gower","Gower Co Const","2010-05-06"
"http://data.parliament.uk/resources/144754",,"1950-02-23",,"Grantham",,"1918-12-14"
"http://data.parliament.uk/resources/144755",,"1974-02-28",,"Grantham",,"1950-02-23"
"http://data.parliament.uk/resources/144756","County","1983-06-09",,"Grantham",,"1974-02-28"
"http://data.parliament.uk/resources/144757","County","1997-05-01",,"Grantham",,"1983-06-09"
"http://data.parliament.uk/resources/144758","County","2010-05-06",,"Grantham & Stamford","Grantham and Stamford Co Const","1997-05-01"
"http://data.parliament.uk/resources/146960","County",,"E14000714","Grantham and Stamford","Grantham and Stamford Co Const","2010-05-06"
"http://data.parliament.uk/resources/144759",,"1950-02-23",,"Gravesend",,"1918-12-14"
"http://data.parliament.uk/resources/144760",,"1974-02-28",,"Gravesend",,"1950-02-23"
"http://data.parliament.uk/resources/144761","County","1983-06-09",,"Gravesend",,"1974-02-28"
"http://data.parliament.uk/resources/144762","County","1997-05-01",,"Gravesham",,"1983-06-09"
"http://data.parliament.uk/resources/144763","County","2010-05-06",,"Gravesham","Gravesham Co Const","1997-05-01"
"http://data.parliament.uk/resources/146961","County",,"E14000715","Gravesham",,"2010-05-06"
"http://data.parliament.uk/resources/144764","Borough","1997-05-01",,"Great Grimsby",,"1983-06-09"
"http://data.parliament.uk/resources/144765","Borough","2010-05-06",,"Great Grimsby","Great Grimsby Boro Const","1997-05-01"
"http://data.parliament.uk/resources/146962","Borough",,"E14000716","Great Grimsby",,"2010-05-06"
"http://data.parliament.uk/resources/144766",,"1950-02-23",,"Great Yarmouth",,"1918-12-14"
"http://data.parliament.uk/resources/144767","County","1997-05-01",,"Great Yarmouth",,"1983-06-09"
"http://data.parliament.uk/resources/144768","County","2010-05-06",,"Great Yarmouth","Great Yarmouth Co Const","1997-05-01"
"http://data.parliament.uk/resources/146963","County",,"E14000717","Great Yarmouth",,"2010-05-06"
"http://data.parliament.uk/resources/144769",,"1950-02-23",,"Greenock",,"1918-12-14"
"http://data.parliament.uk/resources/144770",,"1974-02-28",,"Greenock",,"1950-02-23"
"http://data.parliament.uk/resources/144771","County","2005-05-05",,"Greenock & Inverclyde","Greenock and Inverclyde Co Const","1997-05-01"
