"","observation_path","chamber_path","constituency_path","observation_number","chamber_number","chamber_name","constituency_number","constituency_name","country_name","province_name"
"764","/chamber-1/constituency-764","/chamber-1","/chamber-1/constituency-764","764",1,"House of Commons","764","Lonsdale",NA,NA
"765","/chamber-1/constituency-765","/chamber-1","/chamber-1/constituency-765","765",1,"House of Commons","765","Loughborough","England",NA
"766","/chamber-1/constituency-766","/chamber-1","/chamber-1/constituency-766","766",1,"House of Commons","766","Louth",NA,NA
"767","/chamber-1/constituency-767","/chamber-1","/chamber-1/constituency-767","767",1,"House of Commons","767","Louth and Horncastle","England",NA
"768","/chamber-1/constituency-768","/chamber-1","/chamber-1/constituency-768","768",1,"House of Commons","768","Lowestoft",NA,NA
"769","/chamber-1/constituency-769","/chamber-1","/chamber-1/constituency-769","769",1,"House of Commons","769","Ludlow","England",NA
"770","/chamber-1/constituency-770","/chamber-1","/chamber-1/constituency-770","770",1,"House of Commons","770","Luton",NA,NA
"771","/chamber-1/constituency-771","/chamber-1","/chamber-1/constituency-771","771",1,"House of Commons","771","Luton East",NA,NA
"772","/chamber-1/constituency-772","/chamber-1","/chamber-1/constituency-772","772",1,"House of Commons","772","Luton North","England",NA
"773","/chamber-1/constituency-773","/chamber-1","/chamber-1/constituency-773","773",1,"House of Commons","773","Luton South","England",NA
"774","/chamber-1/constituency-774","/chamber-1","/chamber-1/constituency-774","774",1,"House of Commons","774","Luton West",NA,NA
"775","/chamber-1/constituency-775","/chamber-1","/chamber-1/constituency-775","775",1,"House of Commons","775","Macclesfield","England",NA
"776","/chamber-1/constituency-776","/chamber-1","/chamber-1/constituency-776","776",1,"House of Commons","776","Maidenhead","England",NA
"777","/chamber-1/constituency-777","/chamber-1","/chamber-1/constituency-777","777",1,"House of Commons","777","Maidstone",NA,NA
"778","/chamber-1/constituency-778","/chamber-1","/chamber-1/constituency-778","778",1,"House of Commons","778","Maidstone and The Weald","England",NA
"779","/chamber-1/constituency-779","/chamber-1","/chamber-1/constituency-779","779",1,"House of Commons","779","Makerfield","England",NA
"780","/chamber-1/constituency-780","/chamber-1","/chamber-1/constituency-780","780",1,"House of Commons","780","Maldon","England",NA
"781","/chamber-1/constituency-781","/chamber-1","/chamber-1/constituency-781","781",1,"House of Commons","781","Maldon and East Chelmsford",NA,NA
"782","/chamber-1/constituency-782","/chamber-1","/chamber-1/constituency-782","782",1,"House of Commons","782","Manchester Central","England",NA
"783","/chamber-1/constituency-783","/chamber-1","/chamber-1/constituency-783","783",1,"House of Commons","783","Manchester, Ardwick",NA,NA
"784","/chamber-1/constituency-784","/chamber-1","/chamber-1/constituency-784","784",1,"House of Commons","784","Manchester, Blackley",NA,NA
"785","/chamber-1/constituency-785","/chamber-1","/chamber-1/constituency-785","785",1,"House of Commons","785","Manchester, Cheetham",NA,NA
"786","/chamber-1/constituency-786","/chamber-1","/chamber-1/constituency-786","786",1,"House of Commons","786","Manchester, Clayton",NA,NA
"787","/chamber-1/constituency-787","/chamber-1","/chamber-1/constituency-787","787",1,"House of Commons","787","Manchester, Exchange",NA,NA
"788","/chamber-1/constituency-788","/chamber-1","/chamber-1/constituency-788","788",1,"House of Commons","788","Manchester, Gorton","England",NA
"789","/chamber-1/constituency-789","/chamber-1","/chamber-1/constituency-789","789",1,"House of Commons","789","Manchester, Hulme",NA,NA
"790","/chamber-1/constituency-790","/chamber-1","/chamber-1/constituency-790","790",1,"House of Commons","790","Manchester, Moss Side",NA,NA
"791","/chamber-1/constituency-791","/chamber-1","/chamber-1/constituency-791","791",1,"House of Commons","791","Manchester, Openshaw",NA,NA
"792","/chamber-1/constituency-792","/chamber-1","/chamber-1/constituency-792","792",1,"House of Commons","792","Manchester, Platting",NA,NA
"793","/chamber-1/constituency-793","/chamber-1","/chamber-1/constituency-793","793",1,"House of Commons","793","Manchester, Rusholme",NA,NA
"794","/chamber-1/constituency-794","/chamber-1","/chamber-1/constituency-794","794",1,"House of Commons","794","Manchester, Withington","England",NA
"795","/chamber-1/constituency-795","/chamber-1","/chamber-1/constituency-795","795",1,"House of Commons","795","Manchester, Wythenshawe",NA,NA
"796","/chamber-1/constituency-796","/chamber-1","/chamber-1/constituency-796","796",1,"House of Commons","796","Mansfield","England",NA
"797","/chamber-1/constituency-797","/chamber-1","/chamber-1/constituency-797","797",1,"House of Commons","797","Medway",NA,NA
"798","/chamber-1/constituency-798","/chamber-1","/chamber-1/constituency-798","798",1,"House of Commons","798","Meirionnydd Nant Conwy",NA,NA
"799","/chamber-1/constituency-799","/chamber-1","/chamber-1/constituency-799","799",1,"House of Commons","799","Melton",NA,NA
"800","/chamber-1/constituency-800","/chamber-1","/chamber-1/constituency-800","800",1,"House of Commons","800","Meon Valley","England",NA
"801","/chamber-1/constituency-801","/chamber-1","/chamber-1/constituency-801","801",1,"House of Commons","801","Meriden","England",NA
"802","/chamber-1/constituency-802","/chamber-1","/chamber-1/constituency-802","802",1,"House of Commons","802","Merioneth",NA,NA
"803","/chamber-1/constituency-803","/chamber-1","/chamber-1/constituency-803","803",1,"House of Commons","803","Merionethshire",NA,NA
"804","/chamber-1/constituency-804","/chamber-1","/chamber-1/constituency-804","804",1,"House of Commons","804","Merthyr Tydfil",NA,NA
"805","/chamber-1/constituency-805","/chamber-1","/chamber-1/constituency-805","805",1,"House of Commons","805","Merthyr Tydfil and Rhymney","Wales",NA
"806","/chamber-1/constituency-806","/chamber-1","/chamber-1/constituency-806","806",1,"House of Commons","806","Merton and Morden",NA,NA
"807","/chamber-1/constituency-807","/chamber-1","/chamber-1/constituency-807","807",1,"House of Commons","807","Merton, Mitcham and Morden",NA,NA
"808","/chamber-1/constituency-808","/chamber-1","/chamber-1/constituency-808","808",1,"House of Commons","808","Mid Bedfordshire","England",NA
"809","/chamber-1/constituency-809","/chamber-1","/chamber-1/constituency-809","809",1,"House of Commons","809","Mid Derbyshire","England",NA
"810","/chamber-1/constituency-810","/chamber-1","/chamber-1/constituency-810","810",1,"House of Commons","810","Mid Dorset and North Poole","England",NA
"811","/chamber-1/constituency-811","/chamber-1","/chamber-1/constituency-811","811",1,"House of Commons","811","Mid Kent",NA,NA
"812","/chamber-1/constituency-812","/chamber-1","/chamber-1/constituency-812","812",1,"House of Commons","812","Mid Norfolk","England",NA
"813","/chamber-1/constituency-813","/chamber-1","/chamber-1/constituency-813","813",1,"House of Commons","813","Mid Oxon",NA,NA
"814","/chamber-1/constituency-814","/chamber-1","/chamber-1/constituency-814","814",1,"House of Commons","814","Mid Staffordshire",NA,NA
"815","/chamber-1/constituency-815","/chamber-1","/chamber-1/constituency-815","815",1,"House of Commons","815","Mid Sussex","England",NA
"816","/chamber-1/constituency-816","/chamber-1","/chamber-1/constituency-816","816",1,"House of Commons","816","Mid Ulster","Northern Ireland",NA
"817","/chamber-1/constituency-817","/chamber-1","/chamber-1/constituency-817","817",1,"House of Commons","817","Mid Worcestershire","England",NA
"818","/chamber-1/constituency-818","/chamber-1","/chamber-1/constituency-818","818",1,"House of Commons","818","Middlesbrough","England",NA
"819","/chamber-1/constituency-819","/chamber-1","/chamber-1/constituency-819","819",1,"House of Commons","819","Middlesbrough East",NA,NA
"820","/chamber-1/constituency-820","/chamber-1","/chamber-1/constituency-820","820",1,"House of Commons","820","Middlesbrough South and East Cleveland","England",NA
"821","/chamber-1/constituency-821","/chamber-1","/chamber-1/constituency-821","821",1,"House of Commons","821","Middlesbrough West",NA,NA
"822","/chamber-1/constituency-822","/chamber-1","/chamber-1/constituency-822","822",1,"House of Commons","822","Middleton and Prestwich",NA,NA
"823","/chamber-1/constituency-823","/chamber-1","/chamber-1/constituency-823","823",1,"House of Commons","823","Midlothian","Scotland",NA
"824","/chamber-1/constituency-824","/chamber-1","/chamber-1/constituency-824","824",1,"House of Commons","824","Midlothian and Peeblesshire",NA,NA
"825","/chamber-1/constituency-825","/chamber-1","/chamber-1/constituency-825","825",1,"House of Commons","825","Mile End",NA,NA
"826","/chamber-1/constituency-826","/chamber-1","/chamber-1/constituency-826","826",1,"House of Commons","826","Milton Keynes",NA,NA
"827","/chamber-1/constituency-827","/chamber-1","/chamber-1/constituency-827","827",1,"House of Commons","827","Milton Keynes North","England",NA
"828","/chamber-1/constituency-828","/chamber-1","/chamber-1/constituency-828","828",1,"House of Commons","828","Milton Keynes South","England",NA
