"","committee_acronym","parliament_number","session_number","date_change","position","full_name"
"40.44","BILI","41","1","2011-09-13","Associate Member","Jacques Gourde"
"40.45","BILI","41","1","2011-09-13","Associate Member","Nina Grewal"
"40.46","BILI","41","1","2011-09-13","Associate Member","Richard Harris"
"40.47","BILI","41","1","2011-09-13","Associate Member","Laurie Hawn"
"40.48","BILI","41","1","2011-09-13","Associate Member","Bryan Hayes"
"40.49","BILI","41","1","2011-09-13","Associate Member","Russ Hiebert"
"40.50","BILI","41","1","2011-09-13","Associate Member","Randy Hoback"
"40.51","BILI","41","1","2011-09-13","Associate Member","Ed Holder"
"40.52","BILI","41","1","2011-09-13","Associate Member","Roxanne James"
"40.53","BILI","41","1","2011-09-13","Associate Member","Brian Jean"
"40.54","BILI","41","1","2011-09-13","Associate Member","Randy Kamp"
"40.55","BILI","41","1","2011-09-13","Associate Member","Gerald Keddy"
"40.56","BILI","41","1","2011-09-13","Associate Member","Greg Kerr"
"40.57","BILI","41","1","2011-09-13","Associate Member","Ed Komarnicki"
"40.58","BILI","41","1","2011-09-13","Associate Member","Daryl Kramp"
"40.59","BILI","41","1","2011-09-13","Associate Member","Mike Lake"
"40.60","BILI","41","1","2011-09-13","Associate Member","Guy Lauzon"
"40.61","BILI","41","1","2011-09-13","Associate Member","Ryan Leef"
"40.62","BILI","41","1","2011-09-13","Associate Member","Kellie Leitch"
"40.63","BILI","41","1","2011-09-13","Associate Member","Pierre Lemieux"
"40.64","BILI","41","1","2011-09-13","Associate Member","Chungsen Leung"
"40.65","BILI","41","1","2011-09-13","Associate Member","Wladyslaw Lizon"
"40.66","BILI","41","1","2011-09-13","Associate Member","Ben Lobb"
"40.67","BILI","41","1","2011-09-13","Associate Member","Tom Lukiwski"
"40.68","BILI","41","1","2011-09-13","Associate Member","James Lunney"
"40.69","BILI","41","1","2011-09-13","Associate Member","Dave MacKenzie"
"40.70","BILI","41","1","2011-09-13","Associate Member","Colin Mayes"
"40.71","BILI","41","1","2011-09-13","Associate Member","Phil McColeman"
"40.72","BILI","41","1","2011-09-13","Associate Member","Cathy McLeod"
"40.73","BILI","41","1","2011-09-13","Associate Member","Costas Menegakis"
"40.74","BILI","41","1","2011-09-13","Associate Member","Rob Merrifield"
"40.75","BILI","41","1","2011-09-13","Associate Member","Larry Miller"
"40.76","BILI","41","1","2011-09-13","Associate Member","Rob Moore"
"40.77","BILI","41","1","2011-09-13","Associate Member","Rick Norlock"
"40.78","BILI","41","1","2011-09-13","Associate Member","Deepak Obhrai"
"40.79","BILI","41","1","2011-09-13","Associate Member","Tilly O'Neill Gordon"
"40.80","BILI","41","1","2011-09-13","Associate Member","Ted Opitz"
"40.81","BILI","41","1","2011-09-13","Associate Member","LaVar Payne"
"40.82","BILI","41","1","2011-09-13","Associate Member","Pierre Poilievre"
"40.83","BILI","41","1","2011-09-13","Associate Member","Joe Preston"
"40.84","BILI","41","1","2011-09-13","Associate Member","James Rajotte"
"40.85","BILI","41","1","2011-09-13","Associate Member","Brent Rathgeber"
"40.86","BILI","41","1","2011-09-13","Associate Member","Scott Reid"
"40.87","BILI","41","1","2011-09-13","Associate Member","Michelle Rempel"
"40.88","BILI","41","1","2011-09-13","Associate Member","Lee Richardson"
"40.89","BILI","41","1","2011-09-13","Associate Member","Greg Rickford"
"40.90","BILI","41","1","2011-09-13","Associate Member","Andrew Saxton"
"40.91","BILI","41","1","2011-09-13","Associate Member","Gary Schellenberger"
"40.92","BILI","41","1","2011-09-13","Associate Member","Kyle Seeback"
"40.93","BILI","41","1","2011-09-13","Associate Member","Bev Shipley"
