Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,David,Christopherson,Hamilton Centre,Ontario,NDP,10/19/15 0:00,
,Alupa,Clarke,Beauport—Limoilou,Quebec,Conservative,10/19/15 0:00,
Hon.,Tony,Clement,Parry Sound—Muskoka,Ontario,Independent,10/19/15 0:00,
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,10/19/15 0:00,
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,10/19/15 0:00,
,Nathan,Cullen,Skeena—Bulkley Valley,British Columbia,NDP,10/19/15 0:00,
,Rodger,Cuzner,Cape Breton—Canso,Nova Scotia,Liberal,10/19/15 0:00,
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,10/19/15 0:00,
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,10/19/15 0:00,
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2/25/19 0:00,
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,10/19/15 0:00,
,Matt,DeCourcey,Fredericton,New Brunswick,Liberal,10/19/15 0:00,
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,10/19/15 0:00,
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,10/19/15 0:00,
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,10/19/15 0:00,
,Nicola,Di Iorio,Saint-Léonard—Saint-Michel,Quebec,Liberal,10/19/15 0:00,1/29/19 23:59
Hon.,Stéphane,Dion,Saint-Laurent,Quebec,Liberal,10/19/15 0:00,2/6/17 23:59
,Kerry,Diotte,Edmonton Griesbach,Alberta,Conservative,10/19/15 0:00,
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,10/19/15 0:00,
,Fin,Donnelly,Port Moody—Coquitlam,British Columbia,NDP,10/19/15 0:00,
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,10/19/15 0:00,
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,10/19/15 0:00,
,Matthew,Dubé,Beloeil—Chambly,Quebec,NDP,10/19/15 0:00,
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,10/19/15 0:00,
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,10/19/15 0:00,
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,10/19/15 0:00,
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,10/19/15 0:00,
,Linda,Duncan,Edmonton Strathcona,Alberta,NDP,10/19/15 0:00,
,Pierre-Luc,Dusseault,Sherbrooke,Quebec,NDP,10/19/15 0:00,
,Scott,Duvall,Hamilton Mountain,Ontario,NDP,10/19/15 0:00,
,Julie,Dzerowicz,Davenport,Ontario,Liberal,10/19/15 0:00,
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal,10/19/15 0:00,
,Jim,Eglinski,Yellowhead,Alberta,Conservative,10/19/15 0:00,
,Ali,Ehsassi,Willowdale,Ontario,Liberal,10/19/15 0:00,
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,10/19/15 0:00,
,Neil,Ellis,Bay of Quinte,Ontario,Liberal,10/19/15 0:00,
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,10/19/15 0:00,
Hon.,Mark,Eyking,Sydney—Victoria,Nova Scotia,Liberal,10/19/15 0:00,
,Doug,Eyolfson,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Liberal,10/19/15 0:00,
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,12/11/17 0:00,
,Ted,Falk,Provencher,Manitoba,Conservative,10/19/15 0:00,
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,10/19/15 0:00,
,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,10/19/15 0:00,
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,10/19/15 0:00,
Hon.,Diane,Finley,Haldimand—Norfolk,Ontario,Conservative,10/19/15 0:00,
,Pat,Finnigan,Miramichi—Grand Lake,New Brunswick,Liberal,10/19/15 0:00,
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,10/19/15 0:00,
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,10/19/15 0:00,
Hon.,Judy,Foote,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,10/19/15 0:00,9/30/17 23:59
,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,4/3/17 0:00,
,Rhéal,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,10/19/15 0:00,
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,10/19/15 0:00,
,Colin,Fraser,West Nova,Nova Scotia,Liberal,10/19/15 0:00,
,Sean,Fraser,Central Nova,Nova Scotia,Liberal,10/19/15 0:00,
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,10/19/15 0:00,
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,10/19/15 0:00,
,Stephen,Fuhr,Kelowna—Lake Country,British Columbia,Liberal,10/19/15 0:00,
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,10/19/15 0:00,
Hon.,Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,10/19/15 0:00,
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,10/19/15 0:00,
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,10/19/15 0:00,
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,10/19/15 0:00,
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,10/19/15 0:00,
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,10/19/15 0:00,
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,10/19/15 0:00,
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,10/19/15 0:00,
,Pamela,Goldsmith-Jones,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,10/19/15 0:00,
Hon.,Ralph,Goodale,Regina—Wascana,Saskatchewan,Liberal,10/19/15 0:00,
Hon.,Karina,Gould,Burlington,Ontario,Liberal,10/19/15 0:00,
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,10/19/15 0:00,
,David de Burgh,Graham,Laurentides—Labelle,Quebec,Liberal,10/19/15 0:00,
,Raj,Grewal,Brampton East,Ontario,Independent,10/19/15 0:00,
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,10/19/15 0:00,
,Cheryl,Hardcastle,Windsor—Tecumseh,Ontario,NDP,10/19/15 0:00,
,Rachael,Harder,Lethbridge,Alberta,Conservative,10/19/15 0:00,
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,10/19/15 0:00,
Right Hon.,Stephen,Harper,Calgary Heritage,Alberta,Conservative,10/19/15 0:00,8/26/16 23:59
,T.J.,Harvey,Tobique—Mactaquac,New Brunswick,Liberal,10/19/15 0:00,
,Richard,Hébert,Lac-Saint-Jean,Quebec,Liberal,10/23/17 0:00,
Hon.,Kent,Hehr,Calgary Centre,Alberta,Liberal,10/19/15 0:00,
,Jim,Hillyer,Medicine Hat—Cardston—Warner,Alberta,Conservative,10/19/15 0:00,3/23/16 23:59
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,10/19/15 0:00,
,Gordie,Hogg,South Surrey—White Rock,British Columbia,Liberal,12/11/17 0:00,
Hon.,Mark,Holland,Ajax,Ontario,Liberal,10/19/15 0:00,
,Anthony,Housefather,Mount Royal,Quebec,Liberal,10/19/15 0:00,
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,10/19/15 0:00,
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,10/19/15 0:00,
,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,10/19/15 0:00,
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,10/19/15 0:00,
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,10/19/15 0:00,
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,10/19/15 0:00,
,Georgina,Jolibois,Desnethé—Missinippi—Churchill River,Saskatchewan,NDP,10/19/15 0:00,
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,10/19/15 0:00,
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,10/19/15 0:00,
Hon.,Bernadette,Jordan,South Shore—St. Margarets,Nova Scotia,Liberal,10/19/15 0:00,
