Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Diane,Ablonczy,Calgary—Nose Hill,Alberta,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Eve,Adams,Mississauga—Brampton South,Ontario,Liberal,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Mark,Adler,York Centre,Ontario,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
Hon.,Leona,Aglukkaq,Nunavut,Nunavut,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Dan,Albas,Okanagan—Coquihalla,British Columbia,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Harold,Albrecht,Kitchener—Conestoga,Ontario,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
Hon.,Chris,Alexander,Ajax—Pickering,Ontario,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Malcolm,Allen,Welland,Ontario,NDP,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Mike,Allen,Tobique—Mactaquac,New Brunswick,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Dean,Allison,Niagara West—Glanbrook,Ontario,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Stella,Ambler,Mississauga South,Ontario,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
Hon.,Rona,Ambrose,Edmonton—Spruce Grove,Alberta,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Rob,Anders,Calgary West,Alberta,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,David,Anderson,Cypress Hills—Grasslands,Saskatchewan,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Scott,Andrews,Avalon,Newfoundland and Labrador,Independent,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Scott,Armstrong,Cumberland—Colchester—Musquodoboit Valley,Nova Scotia,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
Hon.,Keith,Ashfield,Fredericton,New Brunswick,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Niki,Ashton,Churchill,Manitoba,NDP,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Jay,Aspin,Nipissing—Timiskaming,Ontario,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Alex,Atamanenko,British Columbia Southern Interior,British Columbia,NDP,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Robert,Aubin,Trois-Rivières,Quebec,NDP,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Paulina,Ayala,Honoré-Mercier,Quebec,NDP,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
Hon.,John,Baird,Ottawa West—Nepean,Ontario,Conservative,5/2/2011 12:00:00 AM,3/16/2015 11:00:00 PM
,John,Barlow,Macleod,Alberta,Conservative,6/30/2014 12:00:00 AM,10/18/2015 11:59:59 PM
,Joyce,Bateman,Winnipeg South Centre,Manitoba,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
Hon.,Mauril,Bélanger,Ottawa—Vanier,Ontario,Liberal,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,André,Bellavance,Richmond—Arthabaska,Quebec,Independent,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
Hon.,Carolyn,Bennett,St. Paul's,Ontario,Liberal,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Leon,Benoit,Vegreville—Wainwright,Alberta,Conservative,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
,Tyrone,Benskin,Jeanne-Le Ber,Quebec,NDP,5/2/2011 12:00:00 AM,10/18/2015 11:59:59 PM
