Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Jim,Abbott,Kootenay—Columbia,British Columbia,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Diane,Ablonczy,Calgary—Nose Hill,Alberta,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Harold,Albrecht,Kitchener—Conestoga,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Omar,Alghabra,Mississauga—Erindale,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Mike,Allen,Tobique—Mactaquac,New Brunswick,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Dean,Allison,Niagara West—Glanbrook,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Rona,Ambrose,Edmonton—Spruce Grove,Alberta,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Rob,Anders,Calgary West,Alberta,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,David,Anderson,Cypress Hills—Grasslands,Saskatchewan,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Guy,André,Berthier—Maskinongé,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,André,Arthur,Portneuf—Jacques-Cartier,Quebec,Independent,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Gérard,Asselin,Manicouagan,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Alex,Atamanenko,British Columbia Southern Interior,British Columbia,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Claude,Bachand,Saint-Jean,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Larry,Bagnell,Yukon,Yukon,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Navdeep,Bains,Mississauga—Brampton South,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,John,Baird,Ottawa West—Nepean,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Vivian,Barbot,Papineau,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Sue,Barnes,London West,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Dave,Batters,Palliser,Saskatchewan,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Colleen,Beaumier,Brampton West,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Mauril,Bélanger,Ottawa—Vanier,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Catherine,Bell,Vancouver Island North,British Columbia,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Don,Bell,North Vancouver,British Columbia,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,André,Bellavance,Richmond—Arthabaska,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Carolyn,Bennett,St. Paul's,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Leon,Benoit,Vegreville—Wainwright,Alberta,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Maxime,Bernier,Beauce,Quebec,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Maurizio,Bevilacqua,Vaughan,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Dennis,Bevington,Western Arctic,Northwest Territories,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,James,Bezan,Selkirk—Interlake,Manitoba,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Bernard,Bigras,Rosemont—La Petite-Patrie,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Dawn,Black,New Westminster—Coquitlam,British Columbia,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Jean-Pierre,Blackburn,Jonquière—Alma,Quebec,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Bill,Blaikie,Elmwood—Transcona,Manitoba,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Raynald,Blais,Gaspésie—Îles-de-la-Madeleine,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Steven,Blaney,Lévis—Bellechasse,Quebec,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Raymond,Bonin,Nickel Belt,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,France,Bonsant,Compton—Stanstead,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Ken,Boshcoff,Thunder Bay—Rainy River,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Robert,Bouchard,Chicoutimi—Le Fjord,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Sylvie,Boucher,Beauport—Limoilou,Quebec,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Diane,Bourgeois,Terrebonne—Blainville,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Garry,Breitkreuz,Yorkton—Melville,Saskatchewan,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Scott,Brison,Kings—Hants,Nova Scotia,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Bonnie,Brown,Oakville,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Gordon,Brown,Leeds—Grenville,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Patrick,Brown,Barrie,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Rod,Bruinooge,Winnipeg South,Manitoba,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Paule,Brunelle,Trois-Rivières,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Gerry,Byrne,Humber—St. Barbe—Baie Verte,Newfoundland and Labrador,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Blaine,Calkins,Wetaskiwin,Alberta,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Ron,Cannan,Kelowna—Lake Country,British Columbia,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,John,Cannis,Scarborough Centre,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Lawrence,Cannon,Pontiac,Quebec,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Serge,Cardin,Sherbrooke,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Colin,Carrie,Oshawa,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Robert,Carrier,Alfred-Pellan,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Bill,Casey,Cumberland—Colchester—Musquodoboit Valley,Nova Scotia,Independent,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Rick,Casson,Lethbridge,Alberta,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Brenda,Chamberlain,Guelph,Ontario,Liberal,1/23/2006 12:00:00 AM,4/7/2008 11:59:59 PM
Hon.,Raymond,Chan,Richmond,British Columbia,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Chris,Charlton,Hamilton Mountain,Ontario,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Olivia,Chow,Trinity—Spadina,Ontario,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,David,Christopherson,Hamilton Centre,Ontario,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Rob,Clarke,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,3/17/2008 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Tony,Clement,Parry Sound—Muskoka,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Denis,Coderre,Bourassa,Quebec,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Joe,Comartin,Windsor—Tecumseh,Ontario,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Joe,Comuzzi,Thunder Bay—Superior North,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Irwin,Cotler,Mount Royal,Quebec,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Paul,Crête,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Jean,Crowder,Nanaimo—Cowichan,British Columbia,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Nathan,Cullen,Skeena—Bulkley Valley,British Columbia,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Roy,Cullen,Etobicoke North,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,John,Cummins,Delta—Richmond East,British Columbia,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Rodger,Cuzner,Cape Breton—Canso,Nova Scotia,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Jean-Claude,D'Amours,Madawaska—Restigouche,New Brunswick,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Patricia,Davidson,Sarnia—Lambton,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Libby,Davies,Vancouver East,British Columbia,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Stockwell,Day,Okanagan—Coquihalla,British Columbia,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Claude,DeBellefeuille,Beauharnois—Salaberry,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Dean,Del Mastro,Peterborough,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Nicole,Demers,Laval,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Johanne,Deschamps,Laurentides—Labelle,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Barry,Devolin,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Paul,Dewar,Ottawa Centre,Ontario,NDP,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Sukh,Dhaliwal,Newton—North Delta,British Columbia,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Ruby,Dhalla,Brampton—Springdale,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Stéphane,Dion,Saint-Laurent—Cartierville,Quebec,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Ujjal,Dosanjh,Vancouver South,British Columbia,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Norman E.,Doyle,St. John's East,Newfoundland and Labrador,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Ken,Dryden,York Centre,Ontario,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Gilles,Duceppe,Laurier—Sainte-Marie,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Rick,Dykstra,St. Catharines,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,David,Emerson,Vancouver Kingsway,British Columbia,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Ken,Epp,Edmonton—Sherwood Park,Alberta,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Mark,Eyking,Sydney—Victoria,Nova Scotia,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Meili,Faille,Vaudreuil-Soulanges,Quebec,Bloc Québécois,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Diane,Finley,Haldimand—Norfolk,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Brian,Fitzpatrick,Prince Albert,Saskatchewan,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Jim,Flaherty,Whitby—Oshawa,Ontario,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Steven,Fletcher,Charleswood—St. James—Assiniboia,Manitoba,Conservative,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
,Raymonde,Folco,Laval—Les Îles,Quebec,Liberal,1/23/2006 12:00:00 AM,10/13/2008 11:59:59 PM
Hon.,Joe,Fontana,London North Centre,Ontario,Liberal,1/23/2006 12:00:00 AM,9/20/2006 11:59:59 PM
