"uri","bill type","date","home page","home page > uri","identifier","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/754405","Ballot","2018-12-21","prisonsinterferencewithwirelesstelegraphy.html","http://services.parliament.uk/bills/2017-19/prisonsinterferencewithwirelesstelegraphy.html","2060","Prisons (Interference with Wireless Telegraphy)","2017-2019","Baroness Pidding","Prisons (Interference with Wireless Telegraphy) Bill"
"http://data.parliament.uk/resources/754405","Ballot","2018-12-21","prisonsinterferencewithwirelesstelegraphy.html","http://services.parliament.uk/bills/2017-19/prisonsinterferencewithwirelesstelegraphy.html","2060","Prisons (Interference with Wireless Telegraphy)","2017-2019","Maria Caulfield","Prisons (Interference with Wireless Telegraphy) Bill"
"http://data.parliament.uk/resources/754407","Ballot","2018-12-21","homesfitnessforhumanhabitation.html","http://services.parliament.uk/bills/2017-19/homesfitnessforhumanhabitation.html","2062","Homes (Fitness for Human Habitation)","2017-2019","Lord Best","Homes (Fitness for Human Habitation) Bill"
"http://data.parliament.uk/resources/754407","Ballot","2018-12-21","homesfitnessforhumanhabitation.html","http://services.parliament.uk/bills/2017-19/homesfitnessforhumanhabitation.html","2062","Homes (Fitness for Human Habitation)","2017-2019","Ms Karen Buck","Homes (Fitness for Human Habitation) Bill"
"http://data.parliament.uk/resources/758485","Presentation","2018-12-21","healthandsocialcarenationaldataguardian.html","http://services.parliament.uk/bills/2017-19/healthandsocialcarenationaldataguardian.html","2145","Health and Social Care (National Data Guardian)","2017-2019","Baroness Chisholm of Owlpen","Health and Social Care (National Data Guardian) Bill"
"http://data.parliament.uk/resources/758485","Presentation","2018-12-21","healthandsocialcarenationaldataguardian.html","http://services.parliament.uk/bills/2017-19/healthandsocialcarenationaldataguardian.html","2145","Health and Social Care (National Data Guardian)","2017-2019","Mr Peter Bone","Health and Social Care (National Data Guardian) Bill"
"http://data.parliament.uk/resources/869209","Government","2018-12-21","civilliability.html","http://services.parliament.uk/bills/2017-19/civilliability.html","2231","Civil Liability ","2017-2019","David Gauke","Civil Liability  Bill [HL]"
"http://data.parliament.uk/resources/869209","Government","2018-12-21","civilliability.html","http://services.parliament.uk/bills/2017-19/civilliability.html","2231","Civil Liability ","2017-2019","Lord Keen of Elie","Civil Liability  Bill [HL]"
"http://data.parliament.uk/resources/910880","Government","2018-12-21","ivory.html","http://services.parliament.uk/bills/2017-19/ivory.html","2251","Ivory","2017-2019","Lord Gardiner of Kimble","Ivory Bill"
"http://data.parliament.uk/resources/910880","Government","2018-12-21","ivory.html","http://services.parliament.uk/bills/2017-19/ivory.html","2251","Ivory","2017-2019","Michael Gove","Ivory Bill"
"http://data.parliament.uk/resources/911718","Government","2018-12-21","courtsandtribunalsjudiciaryandfunctionsofstaff.html","http://services.parliament.uk/bills/2017-19/courtsandtribunalsjudiciaryandfunctionsofstaff.html","2252","Courts and Tribunals (Judiciary and Functions of Staff)","2017-2019","David Gauke","Courts and Tribunals (Judiciary and Functions of Staff) Bill [HL]"
"http://data.parliament.uk/resources/911718","Government","2018-12-21","courtsandtribunalsjudiciaryandfunctionsofstaff.html","http://services.parliament.uk/bills/2017-19/courtsandtribunalsjudiciaryandfunctionsofstaff.html","2252","Courts and Tribunals (Judiciary and Functions of Staff)","2017-2019","Lord Keen of Elie","Courts and Tribunals (Judiciary and Functions of Staff) Bill [HL]"
"http://data.parliament.uk/resources/1030150","Government","2018-12-20","immigrationandsocialsecuritycoordinationeuwithdrawal.html","http://services.parliament.uk/bills/2017-19/immigrationandsocialsecuritycoordinationeuwithdrawal.html","2328","Immigration and Social Security Co-ordination (EU Withdrawal)","2017-2019","Sajid Javid","Immigration and Social Security Co-ordination (EU Withdrawal) Bill"
"http://data.parliament.uk/resources/1030151","Ten Minute Rule","2018-12-20","defibrillatorsavailability.html","http://services.parliament.uk/bills/2017-19/defibrillatorsavailability.html","2329","Defibrillators (Availability)","2017-2019","Maria Caulfield","Defibrillators (Availability) Bill"
"http://data.parliament.uk/resources/647345","Private","2018-12-20","universityoflondon.html","http://services.parliament.uk/bills/2017-19/universityoflondon.html","1930","University of London","2016-2017",,"University of London Bill [HL]"
"http://data.parliament.uk/resources/647345","Private","2018-12-20","universityoflondon.html","http://services.parliament.uk/bills/2017-19/universityoflondon.html","1930","University of London","2017-2019",,"University of London Bill [HL]"
