"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393024","Presentation","2012-05-01","localgovernmentfinanceamendmentno2.html","http://services.parliament.uk/bills/localgovernmentfinanceamendmentno2.html","Local Government Finance (Amendment) (No. 2)","2010-2012","John Mann","Local Government Finance (Amendment) (No. 2)"
"http://data.parliament.uk/resources/393025","Presentation","2012-05-01","publicsectorsalaries.html","http://services.parliament.uk/bills/publicsectorsalaries.html","Public Sector Salaries","2010-2012","John Mann","Public Sector Salaries"
"http://data.parliament.uk/resources/393026","Presentation","2012-05-01","publicsectorbonuses.html","http://services.parliament.uk/bills/publicsectorbonuses.html","Public Sector Bonuses","2010-2012","John Mann","Public Sector Bonuses"
"http://data.parliament.uk/resources/393029","Presentation","2012-05-01","parliamentarystandardsamendmentno2.html","http://services.parliament.uk/bills/parliamentarystandardsamendmentno2.html","Parliamentary Standards (Amendment) (No. 2)","2010-2012","John Mann","Parliamentary Standards (Amendment) (No. 2)"
"http://data.parliament.uk/resources/393030","Presentation","2012-05-01","recallofelectedrepresentativesno2.html","http://services.parliament.uk/bills/recallofelectedrepresentativesno2.html","Recall of Elected Representatives (No. 2)","2010-2012","John Mann","Recall of Elected Representatives (No. 2)"
"http://data.parliament.uk/resources/393031","Ten Minute Rule","2012-05-01","airportsecuritypeoplewithdisabilities.html","http://services.parliament.uk/bills/airportsecuritypeoplewithdisabilities.html","Airport Security (People with Disabilities)","2010-2012","Tom Blenkinsop","Airport Security (People with Disabilities)"
"http://data.parliament.uk/resources/393033","Ten Minute Rule","2012-05-01","offshoregamblinglicensing.html","http://services.parliament.uk/bills/offshoregamblinglicensing.html","Offshore Gambling (Licensing)","2010-2012","Matthew Hancock","Offshore Gambling (Licensing)"
"http://data.parliament.uk/resources/393034","Ten Minute Rule","2012-05-01","healthandsafetyamendment.html","http://services.parliament.uk/bills/healthandsafetyamendment.html","Health and Safety (Amendment)","2010-2012","Luciana Berger","Health and Safety (Amendment)"
"http://data.parliament.uk/resources/393036","Ten Minute Rule","2012-05-01","roadsafetyno3.html","http://services.parliament.uk/bills/roadsafetyno3.html","Road Safety (No. 3)","2010-2012","Mr John Leech","Road Safety (No. 3)"
"http://data.parliament.uk/resources/393041","Presentation","2012-05-01","privatepensionschargesdisclosureandaccountability.html","http://services.parliament.uk/bills/privatepensionschargesdisclosureandaccountability.html","Private Pensions (Charges, Disclosure and Accountability)","2010-2012","Mr Gareth Thomas","Private Pensions (Charges, Disclosure and Accountability)"
