"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393372","Ten Minute Rule","2014-05-15","decarbonisation.html","http://services.parliament.uk/bills/decarbonisation.html","Decarbonisation","2013-2014","Ian Murray","Decarbonisation"
"http://data.parliament.uk/resources/393373","Ten Minute Rule","2014-05-15","recallofelectedrepresentative.html","http://services.parliament.uk/bills/recallofelectedrepresentative.html","Recall of Elected Representative","2013-2014","Zac Goldsmith","Recall of Elected Representative"
"http://data.parliament.uk/resources/393374","Ten Minute Rule","2014-05-15","surveillanceoftelecommunicationsjudicialoversight.html","http://services.parliament.uk/bills/surveillanceoftelecommunicationsjudicialoversight.html","Surveillance of Telecommunications (Judicial Oversight)","2013-2014","Mr David Heath","Surveillance of Telecommunications (Judicial Oversight)"
"http://data.parliament.uk/resources/393375","Presentation","2014-05-15","houseofcommonsmembersfund.html","http://services.parliament.uk/bills/houseofcommonsmembersfund.html","House of Commons Members' Fund","2013-2014","Mr Peter Lilley","House of Commons Members' Fund"
"http://data.parliament.uk/resources/393376","Ten Minute Rule","2014-05-15","mentalhealthoutcomesmeasurement.html","http://services.parliament.uk/bills/mentalhealthoutcomesmeasurement.html","Mental Health Outcomes (Measurement)","2013-2014","Mr Robert Buckland","Mental Health Outcomes (Measurement)"
"http://data.parliament.uk/resources/393377","Government","2014-05-15","cooperativeandcommunitybenefitsocieties.html","http://services.parliament.uk/bills/cooperativeandcommunitybenefitsocieties.html","Co-operative and Community Benefit Societies","2013-2014","Lord Newby","Co-operative and Community Benefit Societies"
"http://data.parliament.uk/resources/393377","Government","2014-05-15","cooperativeandcommunitybenefitsocieties.html","http://services.parliament.uk/bills/cooperativeandcommunitybenefitsocieties.html","Co-operative and Community Benefit Societies","2013-2014","Sajid Javid","Co-operative and Community Benefit Societies"
"http://data.parliament.uk/resources/393378","Ten Minute Rule","2014-05-15","creditunionarmedforces.html","http://services.parliament.uk/bills/creditunionarmedforces.html","Credit Union (Armed Forces)","2013-2014","Mr Gareth Thomas","Credit Union (Armed Forces)"
"http://data.parliament.uk/resources/393379","Presentation","2014-05-15","energydemandreduction.html","http://services.parliament.uk/bills/energydemandreduction.html","Energy Demand Reduction","2013-2014","Sir Andrew Stunell","Energy Demand Reduction"
"http://data.parliament.uk/resources/393380","Ten Minute Rule","2014-05-15","communityhospitals.html","http://services.parliament.uk/bills/communityhospitals.html","Community Hospitals","2013-2014","Charlie Elphicke","Community Hospitals"
"http://data.parliament.uk/resources/393381","Ten Minute Rule","2014-05-15","drivingoffencesreviewofsentencingguidelines.html","http://services.parliament.uk/bills/drivingoffencesreviewofsentencingguidelines.html","Driving Offences (Review of Sentencing Guidelines)","2013-2014","Susan Elan Jones","Driving Offences (Review of Sentencing Guidelines)"
"http://data.parliament.uk/resources/393382","Ten Minute Rule","2014-05-15","registrationofstillbirths.html","http://services.parliament.uk/bills/registrationofstillbirths.html","Registration of Stillbirths","2013-2014","Tim Loughton","Registration of Stillbirths"
"http://data.parliament.uk/resources/393383","Ten Minute Rule","2014-05-15","unitedkingdomregisterofplaces.html","http://services.parliament.uk/bills/unitedkingdomregisterofplaces.html","United Kingdom Register of Places","2013-2014","Andrew Rosindell","United Kingdom Register of Places"
"http://data.parliament.uk/resources/393385","Ten Minute Rule","2014-05-15","adventureandgapyearactivitycompaniesaccreditationandinspection.html","http://services.parliament.uk/bills/adventureandgapyearactivitycompaniesaccreditationandinspection.html","Adventure and Gap Year Activity Companies (Accreditation and Inspection)","2013-2014","Kate Green","Adventure and Gap Year Activity Companies (Accreditation and Inspection)"
"http://data.parliament.uk/resources/393386","Presentation","2014-05-15","publicservicesownershipanduserinvolvement.html","http://services.parliament.uk/bills/publicservicesownershipanduserinvolvement.html","Public Services (Ownership and User Involvement)","2013-2014","Caroline Lucas","Public Services (Ownership and User Involvement)"
"http://data.parliament.uk/resources/393387","Ten Minute Rule","2014-05-15","animalwelfareelectroniccollars.html","http://services.parliament.uk/bills/animalwelfareelectroniccollars.html","Animal Welfare (Electronic Collars)","2013-2014","Dr Matthew Offord","Animal Welfare (Electronic Collars)"
"http://data.parliament.uk/resources/393390","Ten Minute Rule","2014-05-15","sexestablishmentsregulation.html","http://services.parliament.uk/bills/sexestablishmentsregulation.html","Sex Establishments (Regulation)","2013-2014","Diana Johnson","Sex Establishments (Regulation)"
"http://data.parliament.uk/resources/393392","Ten Minute Rule","2014-05-15","localgovernmentboundarycommissionpublicrepresentations.html","http://services.parliament.uk/bills/localgovernmentboundarycommissionpublicrepresentations.html","Local Government Boundary Commission (Public Representations)","2013-2014","John Pugh","Local Government Boundary Commission (Public Representations)"
"http://data.parliament.uk/resources/393393","Ten Minute Rule","2014-05-15","floodingpreventionfornewdevelopments.html","http://services.parliament.uk/bills/floodingpreventionfornewdevelopments.html","Flooding Prevention for New Developments","2013-2014","Mark Spencer","Flooding Prevention for New Developments"
"http://data.parliament.uk/resources/393395","Ten Minute Rule","2014-05-15","investmentmanagementfiduciaryduties.html","http://services.parliament.uk/bills/investmentmanagementfiduciaryduties.html","Investment Management (Fiduciary Duties)","2013-2014","Phil Wilson","Investment Management (Fiduciary Duties)"
