"uri","bill type","date","home page","home page > uri","identifier","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/577086","Government","2017-01-17","savingsgovernmentcontributions.html","http://services.parliament.uk/bills/2016-17/savingsgovernmentcontributions.html","1888","Savings (Government Contributions)","2016-2017","Lord Young of Cookham","Savings (Government Contributions) Bill"
"http://data.parliament.uk/resources/577086","Government","2017-01-17","savingsgovernmentcontributions.html","http://services.parliament.uk/bills/2016-17/savingsgovernmentcontributions.html","1888","Savings (Government Contributions)","2016-2017","Philip Hammond","Savings (Government Contributions) Bill"
"http://data.parliament.uk/resources/583780","Government","2017-01-17","smallcharitabledonationsandchildcarepayments.html","http://services.parliament.uk/bills/2016-17/smallcharitabledonationsandchildcarepayments.html","1895","Small Charitable Donations and Childcare Payments","2016-2017","Lord Young of Cookham","Small Charitable Donations and Childcare Payments Bill"
"http://data.parliament.uk/resources/583780","Government","2017-01-17","smallcharitabledonationsandchildcarepayments.html","http://services.parliament.uk/bills/2016-17/smallcharitabledonationsandchildcarepayments.html","1895","Small Charitable Donations and Childcare Payments","2016-2017","Philip Hammond","Small Charitable Donations and Childcare Payments Bill"
"http://data.parliament.uk/resources/601854","Ten Minute Rule","2017-01-17","stalkingsentencing.html","http://services.parliament.uk/bills/2016-17/stalkingsentencing.html","1909","Stalking (Sentencing)","2016-2017","Alex Chalk","Stalking (Sentencing) Bill"
"http://data.parliament.uk/resources/531373","Ballot","2017-01-16","registrationofmarriage.html","http://services.parliament.uk/bills/2016-17/registrationofmarriage.html","1846","Registration of Marriage","2016-2017","Edward Argar","Registration of Marriage Bill"
"http://data.parliament.uk/resources/628030","Ten Minute Rule","2017-01-16","healthandsocialcarenationaldataguardian.html","http://services.parliament.uk/bills/2016-17/healthandsocialcarenationaldataguardian.html","1918","Health and Social Care (National Data Guardian)","2016-2017","Jo Churchill","Health and Social Care (National Data Guardian) Bill"
"http://data.parliament.uk/resources/665410",,"2016-12-28T20:25:56.162Z",,,,,,,
"http://data.parliament.uk/resources/456776","Government","2016-12-02","investigatorypowers.html","http://services.parliament.uk/bills/2016-17/investigatorypowers.html","1749","Investigatory Powers","2015-2016","Amber Rudd","Investigatory Powers  Bill"
"http://data.parliament.uk/resources/456776","Government","2016-12-02","investigatorypowers.html","http://services.parliament.uk/bills/2016-17/investigatorypowers.html","1749","Investigatory Powers","2016-2017","Earl Howe","Investigatory Powers  Bill"
"http://data.parliament.uk/resources/531378","Ballot","2016-12-02","disabilityequalitytrainingtaxiandprivatehirevehicledrivers.html","http://services.parliament.uk/bills/2016-17/disabilityequalitytrainingtaxiandprivatehirevehicledrivers.html","1851","Disability Equality Training (Taxi and Private Hire Vehicle Drivers)","2016-2017","Andrew Gwynne","Disability Equality Training (Taxi and Private Hire Vehicle Drivers) Bill"
"http://data.parliament.uk/resources/578413","Ten Minute Rule","2016-12-02","parentalbereavementleavestatutoryentitlement.html","http://services.parliament.uk/bills/2016-17/parentalbereavementleavestatutoryentitlement.html","1893","Parental Bereavement Leave (Statutory Entitlement)","2016-2017","Will Quince","Parental Bereavement Leave (Statutory Entitlement) Bill"
